instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w80.001,0,474.0,1170.0,13,0,1170474.0,23.76681619998999
n20w80.001,1,444.0,946.0,14,0,946444.0,23.957959500025027
n20w80.001,2,472.0,1133.0,14,0,1133472.0,23.864884699927643
n20w80.001,3,437.0,1227.0,13,0,1227437.0,23.55458500003442
n20w80.001,4,528.0,1151.0,14,0,1151528.0,23.432444299920462
n20w80.001,5,426.0,816.0,14,0,816426.0,23.727174500003457
n20w80.001,6,458.0,1271.0,14,0,1271458.0,23.5983895000536
n20w80.001,7,517.0,1076.0,12,0,1076517.0,23.5364164999919
n20w80.001,8,469.0,978.0,11,0,978469.0,23.799359400058165
n20w80.001,9,392.0,906.0,14,0,906392.0,23.89833490003366
