instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w80.001,0,339.0,0.0,0,1,339.0,26.350272199953906
n20w80.001,1,370.0,0.0,0,1,370.0,27.643584400066175
n20w80.001,2,329.0,0.0,0,1,329.0,26.864875100087374
n20w80.001,3,330.0,0.0,0,1,330.0,26.620792900095694
n20w80.001,4,330.0,0.0,0,1,330.0,25.46655060001649
n20w80.001,5,329.0,0.0,0,1,329.0,29.5249984000111
n20w80.001,6,319.0,188.0,1,0,188319.0,25.77689169999212
n20w80.001,7,319.0,188.0,1,0,188319.0,26.04927860002499
n20w80.001,8,330.0,0.0,0,1,330.0,27.156187999993563
n20w80.001,9,329.0,0.0,0,1,329.0,26.244402599986643
