instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w80.001,0,43,665834.4799999995,180.0,329.0,0.0,3074.0,1,329.0,175.8599011999322
n20w80.001,1,43,605272.8799999999,180.0,346.0,333.0,3074.0,0,nan,138.25492310000118
n20w80.001,2,30,611375.68,180.0,283.0,384.0,3074.0,0,nan,117.55689979996532
n20w80.001,3,50,670037.4799999994,180.0,329.0,0.0,3074.0,1,329.0,107.25022560008802
n20w80.001,4,65,612457.2799999994,180.0,358.0,231.0,3074.0,0,nan,112.04036709992215
n20w80.001,5,62,641276.8799999997,180.0,372.0,173.0,3074.0,0,nan,107.31697150005493
n20w80.001,6,51,668628.4799999995,180.0,329.0,0.0,3074.0,1,329.0,109.43374080001377
n20w80.001,7,44,617109.4799999997,180.0,324.0,345.0,3074.0,0,nan,110.9817461000057
n20w80.001,8,53,673777.4799999995,180.0,330.0,0.0,3074.0,2,330.0,110.14654810004868
n20w80.001,9,44,627161.48,180.0,359.0,210.0,3074.0,0,nan,113.89168180001434
