instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w20.001,0,73,1216408.9500000002,198.0,378.0,0.0,4023.0,1,378.0,104.72886160004418
n20w20.001,1,72,1216980.9500000002,198.0,378.0,0.0,4023.0,1,378.0,105.99888560001273
n20w20.001,2,64,1193748.6500000004,209.0,378.0,0.0,2585.0,1,378.0,95.36575980007183
n20w20.001,3,57,1211037.9500000002,198.0,378.0,0.0,5483.0,1,378.0,94.62177879991941
n20w20.001,4,46,1183935.5500000003,206.0,385.0,96.0,4694.0,0,nan,103.33149450004566
