instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w80.001,0,474.0,1170.0,13,0,1170474.0,24.499454999924637
n20w80.001,1,444.0,946.0,14,0,946444.0,24.189428000012413
n20w80.001,2,472.0,1133.0,14,0,1133472.0,24.040560099994764
n20w80.001,3,437.0,1227.0,13,0,1227437.0,23.989654399920255
n20w80.001,4,528.0,1151.0,14,0,1151528.0,24.13236779998988
