instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w100.001,0,16,93162.26000000008,191.0,237.0,0.0,1628.0,1,237.0,104.21303099999204
n20w100.001,1,15,94822.26000000008,191.0,237.0,0.0,1628.0,1,237.0,105.17782300000545
n20w100.001,2,20,94393.2600000001,191.0,237.0,0.0,1628.0,1,237.0,103.98167060001288
n20w100.001,3,19,96060.2600000001,191.0,237.0,0.0,1628.0,1,237.0,104.66545890003908
n20w100.001,4,17,95621.26000000008,191.0,237.0,0.0,1628.0,1,237.0,105.47523370001
