instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w20.001,0,58,1161107.2400000012,198.0,378.0,0.0,5483.0,1,378.0,106.57155760005116
n20w20.001,1,59,1147080.94,209.0,378.0,0.0,2585.0,1,378.0,107.63288139994256
n20w20.001,2,70,1157259.4400000006,204.0,378.0,0.0,4370.0,1,378.0,105.80003969999962
n20w20.001,3,61,1158738.2400000014,198.0,378.0,0.0,5483.0,1,378.0,104.33787139994092
n20w20.001,4,62,1167732.2400000014,198.0,378.0,0.0,5483.0,1,378.0,109.17976610001642
