instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w60.001,0,379.0,753.0,11,0,753379.0,24.223949900013395
n20w60.001,1,434.0,791.0,8,0,791434.0,24.380507400026545
n20w60.001,2,405.0,907.0,12,0,907405.0,23.90263839997351
n20w60.001,3,450.0,998.0,13,0,998450.0,23.96228939993307
n20w60.001,4,391.0,713.0,7,0,713391.0,23.900687400018796
n20w60.001,5,440.0,817.0,11,0,817440.0,23.68164790002629
n20w60.001,6,376.0,773.0,12,0,773376.0,24.018082899972796
n20w60.001,7,421.0,693.0,11,0,693421.0,23.61829679994844
n20w60.001,8,420.0,844.0,13,0,844420.0,23.676330300047994
n20w60.001,9,407.0,819.0,9,0,819407.0,23.597418899997137
