instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w60.001,0,335.0,0.0,0,1,335.0,26.68657570006326
n20w60.001,1,335.0,0.0,0,1,335.0,25.590271599940024
n20w60.001,2,335.0,0.0,0,1,335.0,25.38311659998726
n20w60.001,3,335.0,0.0,0,1,335.0,26.32043469999917
n20w60.001,4,335.0,0.0,0,1,335.0,25.471256699995138
n20w60.001,5,335.0,0.0,0,1,335.0,25.556776799960062
n20w60.001,6,346.0,0.0,0,1,346.0,25.735956799937412
n20w60.001,7,335.0,0.0,0,1,335.0,26.147897999966517
n20w60.001,8,346.0,0.0,0,1,346.0,25.35603390005417
n20w60.001,9,335.0,0.0,0,1,335.0,27.26287079998292
