instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w60.001,0,39,645222.3500000001,183.0,335.0,0.0,1990.0,1,335.0,98.8714067999972
n20w60.001,1,41,647148.3500000001,183.0,335.0,0.0,1990.0,1,335.0,99.57348860008642
n20w60.001,2,46,647889.4500000002,184.0,335.0,0.0,1703.0,1,335.0,99.51584519993048
n20w60.001,3,36,646884.4500000002,184.0,335.0,0.0,1703.0,1,335.0,101.36361730005592
n20w60.001,4,46,646500.3500000001,183.0,335.0,0.0,1990.0,1,335.0,100.11623330006842
n20w60.001,5,37,643362.5500000002,185.0,335.0,0.0,2222.0,1,335.0,103.52820960001554
n20w60.001,6,44,645494.3500000001,183.0,335.0,0.0,1990.0,1,335.0,99.96159790002275
n20w60.001,7,46,646502.3500000001,183.0,335.0,0.0,1990.0,1,335.0,99.56131899997126
n20w60.001,8,41,647169.3500000002,183.0,335.0,0.0,3479.0,1,335.0,99.98602439998649
n20w60.001,9,41,636342.5500000002,185.0,335.0,0.0,2222.0,1,335.0,99.03767380001955
