instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w40.001,0,51,123165.32000000004,157.0,254.0,0.0,1108.0,1,254.0,117.93737230007537
n20w40.001,1,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,106.78119869995862
n20w40.001,2,49,123118.32000000004,157.0,254.0,0.0,1108.0,1,254.0,125.54758559993934
n20w40.001,3,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,128.02451849996578
n20w40.001,4,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,116.15717220003717
