instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w100.001,0,17,106682.29000000008,191.0,237.0,0.0,1628.0,1,237.0,89.96262709994335
n20w100.001,1,15,105532.29000000008,191.0,237.0,0.0,1628.0,1,237.0,90.74682360002771
n20w100.001,2,15,103880.29000000008,191.0,237.0,0.0,1628.0,1,237.0,91.48537090001628
n20w100.001,3,11,99682.19000000009,194.0,237.0,0.0,1767.0,1,237.0,92.46962899994105
n20w100.001,4,15,105325.29000000008,191.0,237.0,0.0,1628.0,1,237.0,95.3937436999986
