instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w20.001,0,378.0,0.0,0,1,378.0,30.88081860006787
n20w20.001,1,378.0,0.0,0,1,378.0,31.396925600012764
n20w20.001,2,374.0,136.0,2,0,136374.0,30.595148400054313
n20w20.001,3,377.0,283.0,9,0,283377.0,32.800868900027126
n20w20.001,4,378.0,409.0,2,0,409378.0,30.61321029998362
