instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w20.001,0,378.0,0.0,0,1,378.0,30.78575440007262
n20w20.001,1,378.0,0.0,0,1,378.0,34.89704920002259
n20w20.001,2,374.0,136.0,2,0,136374.0,37.776372399996035
n20w20.001,3,377.0,283.0,9,0,283377.0,33.83395869995002
n20w20.001,4,378.0,409.0,2,0,409378.0,29.964633399969898
n20w20.001,5,375.0,78.0,1,0,78375.0,28.502220300026238
n20w20.001,6,378.0,0.0,0,1,378.0,28.50398680008948
n20w20.001,7,395.0,160.0,4,0,160395.0,30.253865100094117
n20w20.001,8,384.0,294.0,5,0,294384.0,29.26384410005994
n20w20.001,9,387.0,216.0,3,0,216387.0,31.114861499983817
