instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w20.001,0,61,1201227.1200000017,198.0,358.0,33.0,4023.0,0,nan,102.62792220001575
n20w20.001,1,56,1187156.1199999996,204.0,378.0,0.0,4676.0,1,378.0,105.09060330002103
n20w20.001,2,63,1203015.5200000016,198.0,378.0,0.0,4023.0,1,378.0,100.68762379989494
n20w20.001,3,60,1203403.5200000014,198.0,378.0,0.0,4023.0,1,378.0,100.84509389998857
n20w20.001,4,61,1195048.5200000014,198.0,378.0,0.0,5483.0,1,378.0,101.54287920007482
n20w20.001,5,65,1194746.5200000014,198.0,378.0,0.0,5483.0,1,378.0,99.87031829997431
n20w20.001,6,64,1189948.5200000016,198.0,378.0,0.0,5483.0,1,378.0,101.44186179991812
n20w20.001,7,69,1208020.5200000007,198.0,378.0,0.0,4023.0,1,378.0,103.70335010008421
n20w20.001,8,67,1194462.9200000004,202.0,378.0,0.0,5629.0,1,378.0,100.64931060001254
n20w20.001,9,64,1173860.6200000006,209.0,378.0,0.0,2585.0,1,378.0,102.93428499996662
