instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w20.001,0,60,935724.5199999999,198.0,378.0,0.0,4023.0,1,378.0,91.21638640004676
n20w20.001,1,67,933867.5200000003,198.0,378.0,0.0,4023.0,1,378.0,90.9868113999255
n20w20.001,2,65,935734.52,198.0,378.0,0.0,4023.0,1,378.0,90.44064619997516
n20w20.001,3,50,911279.3200000002,209.0,332.0,161.0,2585.0,0,nan,91.86756260006223
n20w20.001,4,58,927175.1199999999,204.0,378.0,0.0,4504.0,1,378.0,91.5375408999389
n20w20.001,5,45,926421.1200000002,204.0,378.0,0.0,4504.0,1,378.0,90.5131961000152
n20w20.001,6,37,918733.1200000002,209.0,378.0,0.0,2585.0,1,378.0,91.58235139993485
n20w20.001,7,43,922046.7200000002,198.0,332.0,161.0,4023.0,0,nan,90.96735970000736
n20w20.001,8,70,924076.1200000002,209.0,378.0,0.0,2585.0,1,378.0,90.44612109998707
n20w20.001,9,55,933240.52,198.0,378.0,0.0,4023.0,1,378.0,91.69790909998119
