instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w60.001,0,47,343426.00000000006,183.0,335.0,0.0,1990.0,1,335.0,98.92061470006593
n20w60.001,1,47,341685.00000000006,183.0,335.0,0.0,1990.0,1,335.0,90.37297719996423
n20w60.001,2,47,342201.00000000006,183.0,335.0,0.0,1990.0,1,335.0,88.94674059993122
n20w60.001,3,48,341348.00000000006,183.0,335.0,0.0,1990.0,1,335.0,90.41115050006192
n20w60.001,4,48,341003.00000000006,183.0,335.0,0.0,1990.0,1,335.0,89.98028229991905
