instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w80.001,0,43,603615.2000000001,180.0,346.0,333.0,3074.0,0,nan,111.01127260003705
n20w80.001,1,40,663359.2000000001,180.0,349.0,0.0,3074.0,1,349.0,105.83234899991658
n20w80.001,2,43,596678.2000000001,180.0,370.0,350.0,3074.0,0,nan,109.93097159999888
n20w80.001,3,49,655879.2000000001,180.0,330.0,0.0,3074.0,2,330.0,104.10109910008032
n20w80.001,4,43,598542.2000000001,180.0,346.0,333.0,3074.0,0,nan,109.77648380002938
