instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w80.001,0,48,582601.5600000004,180.0,354.0,101.0,3074.0,0,nan,98.99454780004453
n20w80.001,1,47,577224.7600000004,180.0,319.0,188.0,3074.0,0,nan,94.23361989995465
n20w80.001,2,44,601891.9600000005,180.0,329.0,0.0,3074.0,1,329.0,90.58785310003441
n20w80.001,3,57,604328.9600000003,180.0,330.0,0.0,3074.0,2,330.0,92.10095609992277
n20w80.001,4,48,578265.7600000004,180.0,319.0,188.0,3074.0,0,nan,93.09257290000096
