instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w40.001,0,40,122749.12000000008,157.0,246.0,3.0,1108.0,0,nan,101.81622249993961
n20w40.001,1,51,121893.32000000007,157.0,254.0,0.0,1108.0,1,254.0,104.54775110003538
n20w40.001,2,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,102.97753899998497
n20w40.001,3,48,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,103.25239429995418
n20w40.001,4,51,127453.32000000007,157.0,254.0,0.0,1108.0,1,254.0,105.4080369999865
n20w40.001,5,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,107.0063555999659
n20w40.001,6,44,122931.32000000007,157.0,254.0,0.0,1108.0,1,254.0,103.9452635999769
n20w40.001,7,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,103.32552100007888
n20w40.001,8,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,106.0857851000037
n20w40.001,9,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,102.93783720000647
