instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w40.001,0,49,125612.32000000007,157.0,254.0,0.0,1108.0,1,254.0,92.8251555999741
n20w40.001,1,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,92.0365345000755
n20w40.001,2,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,92.66670139995404
n20w40.001,3,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,91.55976600002032
n20w40.001,4,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,93.52054759999737
n20w40.001,5,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,93.29313609993551
n20w40.001,6,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,92.9075950999977
n20w40.001,7,49,127451.32000000005,157.0,254.0,0.0,1108.0,1,254.0,93.16252010001335
n20w40.001,8,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,93.72939280001447
n20w40.001,9,47,127435.32000000007,157.0,254.0,0.0,1108.0,1,254.0,93.99610539991409
