instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w40.001,0,347.0,797.0,11,0,797347.0,24.814655000111088
n20w40.001,1,334.0,846.0,15,0,846334.0,25.010201700031757
n20w40.001,2,312.0,1049.0,16,0,1049312.0,25.07917839998845
n20w40.001,3,367.0,872.0,12,0,872367.0,24.902728800079785
n20w40.001,4,376.0,1153.0,13,0,1153376.0,25.207373499986716
n20w40.001,5,392.0,1030.0,12,0,1030392.0,28.604183300049044
n20w40.001,6,366.0,844.0,10,0,844366.0,26.326519900001585
n20w40.001,7,379.0,971.0,10,0,971379.0,24.599840399925597
n20w40.001,8,322.0,814.0,13,0,814322.0,24.469916000030935
n20w40.001,9,361.0,1002.0,14,0,1002361.0,24.483133100089617
