instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w60.001,0,44,717478.2000000003,184.0,335.0,0.0,1703.0,1,335.0,116.74409210006706
n20w60.001,1,42,712374.2000000003,184.0,335.0,0.0,1703.0,1,335.0,115.85949419997633
n20w60.001,2,43,712969.6000000002,183.0,335.0,0.0,3479.0,1,335.0,109.32679039996583
n20w60.001,3,48,715271.6000000002,183.0,335.0,0.0,1990.0,1,335.0,105.53864219994284
n20w60.001,4,41,710115.2000000003,184.0,335.0,0.0,3814.0,1,335.0,106.8766551000299
