instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w100.001,0,408.0,684.0,11,0,684408.0,23.706631900044158
n20w100.001,1,373.0,451.0,7,0,451373.0,23.570583199965768
n20w100.001,2,410.0,563.0,10,0,563410.0,23.39740769995842
n20w100.001,3,430.0,506.0,10,0,506430.0,23.46888499998022
n20w100.001,4,414.0,797.0,10,0,797414.0,23.594320600037463
