instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w100.001,0,18,95914.26000000008,191.0,237.0,0.0,1628.0,1,237.0,99.86197760002688
n20w100.001,1,18,95289.2600000001,191.0,237.0,0.0,1628.0,1,237.0,102.3242973999586
n20w100.001,2,17,93332.26000000008,191.0,237.0,0.0,1628.0,1,237.0,101.1858527000295
n20w100.001,3,16,95204.26000000008,191.0,237.0,0.0,1628.0,1,237.0,100.33497140009422
n20w100.001,4,16,95567.26000000008,191.0,237.0,0.0,1628.0,1,237.0,101.13771019992419
n20w100.001,5,17,95344.2600000001,191.0,237.0,0.0,1628.0,1,237.0,100.01277669996489
n20w100.001,6,17,95657.2600000001,191.0,237.0,0.0,1628.0,1,237.0,100.71015130006708
n20w100.001,7,13,94620.26000000008,191.0,237.0,0.0,1628.0,1,237.0,100.38575669995043
n20w100.001,8,14,92959.0600000001,195.0,237.0,0.0,1604.0,1,237.0,101.08825599995907
n20w100.001,9,18,93489.2600000001,191.0,237.0,0.0,1628.0,1,237.0,100.897906600032
