instance,seed,front_size,hypervolume_global_ref,dist_min,dist_max,viol_min,viol_max,n_feasible_solutions,best_feasible_dist,time_s
n20w100.001,0,18,95648.26000000007,191.0,237.0,0.0,1628.0,1,237.0,110.01272440003231
n20w100.001,1,19,95910.2600000001,191.0,237.0,0.0,1628.0,1,237.0,91.34060659992974
n20w100.001,2,18,93193.26000000008,191.0,237.0,0.0,1628.0,2,237.0,89.53886169998441
n20w100.001,3,15,93776.26000000008,191.0,237.0,0.0,1628.0,1,237.0,144.49385249998886
n20w100.001,4,15,94786.2600000001,191.0,237.0,0.0,1628.0,1,237.0,105.67147060006391
n20w100.001,5,17,95093.26000000008,191.0,237.0,0.0,1628.0,1,237.0,91.68095409998205
n20w100.001,6,18,94058.26000000008,191.0,237.0,0.0,1628.0,1,237.0,89.73257190000731
n20w100.001,7,16,95828.26000000008,191.0,237.0,0.0,1628.0,1,237.0,89.43135529989377
n20w100.001,8,16,93275.2600000001,191.0,237.0,0.0,1628.0,1,237.0,89.89674019999802
n20w100.001,9,17,95707.26000000008,191.0,237.0,0.0,1628.0,1,237.0,95.16343910002615
