instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w100.001,0,408.0,684.0,11,0,684408.0,23.950758400023915
n20w100.001,1,373.0,451.0,7,0,451373.0,23.79522500000894
n20w100.001,2,410.0,563.0,10,0,563410.0,23.606586099951528
n20w100.001,3,430.0,506.0,10,0,506430.0,23.477191300014965
n20w100.001,4,414.0,797.0,10,0,797414.0,23.25008009991143
n20w100.001,5,391.0,519.0,7,0,519391.0,23.29067150002811
n20w100.001,6,334.0,643.0,10,0,643334.0,23.273321399930865
n20w100.001,7,413.0,670.0,9,0,670413.0,23.322244200040586
n20w100.001,8,450.0,678.0,12,0,678450.0,24.692709099967033
n20w100.001,9,422.0,420.0,7,0,420422.0,23.336419399944134
