instance,seed,distance,violation,n_violations,feasible,fitness,time_s
n20w100.001,0,237.0,0.0,0,1,237.0,26.05254619999323
n20w100.001,1,243.0,0.0,0,1,243.0,25.350592299946584
n20w100.001,2,243.0,0.0,0,1,243.0,25.086633400060236
n20w100.001,3,237.0,0.0,0,1,237.0,25.829507200047374
n20w100.001,4,237.0,0.0,0,1,237.0,25.19988650002051
n20w100.001,5,237.0,0.0,0,1,237.0,25.65760510007385
n20w100.001,6,237.0,0.0,0,1,237.0,24.962586299981922
n20w100.001,7,276.0,0.0,0,1,276.0,25.80337870004587
n20w100.001,8,237.0,0.0,0,1,237.0,25.027736600022763
n20w100.001,9,237.0,0.0,0,1,237.0,26.4505939000519
